"Position","Track.Name","Artist","Streams","songId","Month","Region"
1,"Shape of You","Ed Sheeran",4181901,"7qiZfU4dY1lWllzX7mPBI3","2017-01-01","it"
2,"Castle on the Hill","Ed Sheeran",1518936,"6PCUP3dWmTjcTtXY02oFdT","2017-01-01","it"
3,"Assenzio","J-AX",1217832,"0DRKnh0BloxJHyhXkfbiX8","2017-01-01","it"
4,"Closer","The Chainsmokers",842325,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-01","it"
5,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",712091,"5knuzwU65gJK7IF5yJsuaW","2017-01-01","it"
6,"Chantaje","Shakira",1321795,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-01","it"
7,"Let Me Love You","DJ Snake",956777,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-01","it"
8,"Paris","The Chainsmokers",684344,"72jbDTw1piOOj770jWNeaG","2017-01-01","it"
9,"Havana","Camila Cabello",838970,"0ofbQMrRDsUaVKq2mGLEAb","2017-01-01","it"
10,"La musica non c'è","Coez",754007,"7MMJa7cjMadOSR6CFWvB1x","2017-01-01","it"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-01-01","it"
11,"Occidentali's Karma - Radio Edit","Francesco Gabbani",0,"00wxIcA1PPbqEzATkHT4e1","2017-01-01","it"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-01-01","it"
11,"Pizza Kebab","Ghali",0,"6oMxcHFSiTZPSYoRe9wFpF","2017-01-01","it"
11,"Il Diario Degli Errori","Michele Bravi",0,"5fe47fVHpndUfJUqMum9Rf","2017-01-01","it"
11,"Portami via","Fabrizio Moro",0,"2YsfmsmRwWaFV7YLvTGFcm","2017-01-01","it"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-01-01","it"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-01-01","it"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-01-01","it"
11,"Bimbi","Charlie Charles",0,"7uPI3Q0Ke3Thl0z1xzvXFn","2017-01-01","it"
11,"Believer","Imagine Dragons",0,"0CcQNd8CINkwQfe1RDtGV6","2017-01-01","it"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-01-01","it"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-01-01","it"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-01-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"1ATWiuxpIc287Cynakx59C","2017-01-01","it"
11,"Happy Days","Ghali",0,"5s36BGx9nfgtklTJpnk1AE","2017-01-01","it"
11,"Caramelle","Dark Polo Gang",0,"2UgmthxiqZnsvfLOSqx0BT","2017-01-01","it"
11,"Believer","Imagine Dragons",0,"6VRghJeP6I0w1KxkdWFfIh","2017-01-01","it"
11,"Volare","Fabio Rovazzi",0,"6wCjFS1rdcR9lNBgl4ba9o","2017-01-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"0YOUE1TlkgSbkNvWkZkEVp","2017-01-01","it"
11,"Happy Days","Ghali",0,"3FLp4tu69GLt0KPizUhFsU","2017-01-01","it"
11,"Tran Tran","Sfera Ebbasta",0,"1S2VLr8j9KVbroLn76RF4i","2017-01-01","it"
11,"Pamplona","Fabri Fibra",0,"3H452nrW7GsaU01lpfrQTf","2017-01-01","it"
11,"Ricchi Dentro","Ghali",0,"6QwcgyYWHB83EkUvz3XhDX","2017-01-01","it"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-01-01","it"
11,"Voglio ballare con te","Baby K",0,"14KKXLz5WHrzGOMUNFV22H","2017-01-01","it"
11,"Lamborghini","Gue Pequeno",0,"7G8g5Zrr5rj2OoKoXGnRb1","2017-01-01","it"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-01-01","it"
11,"Riccione","Thegiornalisti",0,"6RiprjTTheMrJ2ypJxz3H4","2017-01-01","it"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-01-01","it"
11,"L'esercito del selfie","Takagi & Ketra",0,"28I8isBTQdyl3LTtAAQofp","2017-01-01","it"
11,"El Party","Jake La Furia",0,"5xyExId5XWZplBvjmbIuy6","2017-01-01","it"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-01-01","it"
11,"La musica non c'è","Coez",0,"5IKWRPO5NGaeNIXF4rkbfZ","2017-01-01","it"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-01-01","it"
11,"Habibi","Ghali",0,"1lwpe8mLgHhytakM7m6R3W","2017-01-01","it"
11,"Oro E Argento","Gemitaiz",0,"4k6PNRmrzBRezOB32uvuaC","2017-01-01","it"
11,"Giovane Fuoriclasse","Capo Plaza",0,"4f7xpneUOcob0RoRyae6ax","2017-01-01","it"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-01-01","it"
11,"Sconosciuti da una vita","J-AX",0,"70huitTbZpfifVHwVzZdtV","2017-01-01","it"
11,"La legge del più forte","Tedua",0,"31ZxBLg6StdqVkvNAZ1eRu","2017-01-01","it"
11,"Irraggiungibile (feat. Federica)","Shade",0,"03PDOt4cRKQgpYfA9I9wnC","2017-01-01","it"
11,"Trapano","Madman",0,"64kdCC2kt1EhlePTTWe70B","2017-01-01","it"
11,"Perdonami","Salmo",0,"7kK2m2KDEL0W8oFq6fuOcf","2017-01-01","it"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-01-01","it"
11,"Favorisca i sentimenti","J-AX",0,"6T7auXdjnEFnifaWc796YQ","2017-01-01","it"
11,"Chosen","Måneskin",0,"2lDgdWIGLYuk74pDeRPgPF","2017-01-01","it"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-01-01","it"
1,"Shape of You","Ed Sheeran",5410438,"7qiZfU4dY1lWllzX7mPBI3","2017-02-01","it"
2,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",3328867,"5knuzwU65gJK7IF5yJsuaW","2017-02-01","it"
3,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3150414,"4aWmUDTfIPGksMNLV2rQP2","2017-02-01","it"
4,"Occidentali's Karma - Radio Edit","Francesco Gabbani",3653709,"00wxIcA1PPbqEzATkHT4e1","2017-02-01","it"
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",2702996,"3NdDpSvN911VPGivFlV5d0","2017-02-01","it"
6,"Paris","The Chainsmokers",2167127,"72jbDTw1piOOj770jWNeaG","2017-02-01","it"
7,"Pizza Kebab","Ghali",2252393,"6oMxcHFSiTZPSYoRe9wFpF","2017-02-01","it"
8,"Il Diario Degli Errori","Michele Bravi",1720090,"5fe47fVHpndUfJUqMum9Rf","2017-02-01","it"
9,"Portami via","Fabrizio Moro",1366482,"2YsfmsmRwWaFV7YLvTGFcm","2017-02-01","it"
10,"Castle on the Hill","Ed Sheeran",954161,"6PCUP3dWmTjcTtXY02oFdT","2017-02-01","it"
11,"Assenzio","J-AX",0,"0DRKnh0BloxJHyhXkfbiX8","2017-02-01","it"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-02-01","it"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-02-01","it"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-02-01","it"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-02-01","it"
11,"La musica non c'è","Coez",0,"7MMJa7cjMadOSR6CFWvB1x","2017-02-01","it"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-02-01","it"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-02-01","it"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-02-01","it"
11,"Bimbi","Charlie Charles",0,"7uPI3Q0Ke3Thl0z1xzvXFn","2017-02-01","it"
11,"Believer","Imagine Dragons",0,"0CcQNd8CINkwQfe1RDtGV6","2017-02-01","it"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-02-01","it"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-02-01","it"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-02-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"1ATWiuxpIc287Cynakx59C","2017-02-01","it"
11,"Happy Days","Ghali",0,"5s36BGx9nfgtklTJpnk1AE","2017-02-01","it"
11,"Caramelle","Dark Polo Gang",0,"2UgmthxiqZnsvfLOSqx0BT","2017-02-01","it"
11,"Believer","Imagine Dragons",0,"6VRghJeP6I0w1KxkdWFfIh","2017-02-01","it"
11,"Volare","Fabio Rovazzi",0,"6wCjFS1rdcR9lNBgl4ba9o","2017-02-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"0YOUE1TlkgSbkNvWkZkEVp","2017-02-01","it"
11,"Happy Days","Ghali",0,"3FLp4tu69GLt0KPizUhFsU","2017-02-01","it"
11,"Tran Tran","Sfera Ebbasta",0,"1S2VLr8j9KVbroLn76RF4i","2017-02-01","it"
11,"Pamplona","Fabri Fibra",0,"3H452nrW7GsaU01lpfrQTf","2017-02-01","it"
11,"Ricchi Dentro","Ghali",0,"6QwcgyYWHB83EkUvz3XhDX","2017-02-01","it"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-02-01","it"
11,"Voglio ballare con te","Baby K",0,"14KKXLz5WHrzGOMUNFV22H","2017-02-01","it"
11,"Lamborghini","Gue Pequeno",0,"7G8g5Zrr5rj2OoKoXGnRb1","2017-02-01","it"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-02-01","it"
11,"Riccione","Thegiornalisti",0,"6RiprjTTheMrJ2ypJxz3H4","2017-02-01","it"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-02-01","it"
11,"L'esercito del selfie","Takagi & Ketra",0,"28I8isBTQdyl3LTtAAQofp","2017-02-01","it"
11,"El Party","Jake La Furia",0,"5xyExId5XWZplBvjmbIuy6","2017-02-01","it"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-02-01","it"
11,"La musica non c'è","Coez",0,"5IKWRPO5NGaeNIXF4rkbfZ","2017-02-01","it"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-02-01","it"
11,"Habibi","Ghali",0,"1lwpe8mLgHhytakM7m6R3W","2017-02-01","it"
11,"Oro E Argento","Gemitaiz",0,"4k6PNRmrzBRezOB32uvuaC","2017-02-01","it"
11,"Giovane Fuoriclasse","Capo Plaza",0,"4f7xpneUOcob0RoRyae6ax","2017-02-01","it"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-02-01","it"
11,"Sconosciuti da una vita","J-AX",0,"70huitTbZpfifVHwVzZdtV","2017-02-01","it"
11,"La legge del più forte","Tedua",0,"31ZxBLg6StdqVkvNAZ1eRu","2017-02-01","it"
11,"Irraggiungibile (feat. Federica)","Shade",0,"03PDOt4cRKQgpYfA9I9wnC","2017-02-01","it"
11,"Trapano","Madman",0,"64kdCC2kt1EhlePTTWe70B","2017-02-01","it"
11,"Perdonami","Salmo",0,"7kK2m2KDEL0W8oFq6fuOcf","2017-02-01","it"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-02-01","it"
11,"Favorisca i sentimenti","J-AX",0,"6T7auXdjnEFnifaWc796YQ","2017-02-01","it"
11,"Chosen","Måneskin",0,"2lDgdWIGLYuk74pDeRPgPF","2017-02-01","it"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-02-01","it"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",5837870,"4aWmUDTfIPGksMNLV2rQP2","2017-03-01","it"
2,"Shape of You","Ed Sheeran",5828452,"7qiZfU4dY1lWllzX7mPBI3","2017-03-01","it"
3,"Occidentali's Karma - Radio Edit","Francesco Gabbani",3759072,"00wxIcA1PPbqEzATkHT4e1","2017-03-01","it"
4,"Something Just Like This","The Chainsmokers",3337429,"6RUKPb4LETWmmr3iAEQktW","2017-03-01","it"
5,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",3109086,"5knuzwU65gJK7IF5yJsuaW","2017-03-01","it"
6,"SUBEME LA RADIO","Enrique Iglesias",2205032,"7nKBxz47S9SD79N086fuhn","2017-03-01","it"
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",2167570,"3NdDpSvN911VPGivFlV5d0","2017-03-01","it"
8,"It Ain't Me (with Selena Gomez)","Kygo",2195564,"3eR23VReFzcdmS7TYCrhCe","2017-03-01","it"
9,"Bimbi","Charlie Charles",1010828,"7uPI3Q0Ke3Thl0z1xzvXFn","2017-03-01","it"
10,"Paris","The Chainsmokers",1891912,"72jbDTw1piOOj770jWNeaG","2017-03-01","it"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-03-01","it"
11,"Assenzio","J-AX",0,"0DRKnh0BloxJHyhXkfbiX8","2017-03-01","it"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-03-01","it"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-03-01","it"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-03-01","it"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-03-01","it"
11,"La musica non c'è","Coez",0,"7MMJa7cjMadOSR6CFWvB1x","2017-03-01","it"
11,"Pizza Kebab","Ghali",0,"6oMxcHFSiTZPSYoRe9wFpF","2017-03-01","it"
11,"Il Diario Degli Errori","Michele Bravi",0,"5fe47fVHpndUfJUqMum9Rf","2017-03-01","it"
11,"Portami via","Fabrizio Moro",0,"2YsfmsmRwWaFV7YLvTGFcm","2017-03-01","it"
11,"Believer","Imagine Dragons",0,"0CcQNd8CINkwQfe1RDtGV6","2017-03-01","it"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-03-01","it"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-03-01","it"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-03-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"1ATWiuxpIc287Cynakx59C","2017-03-01","it"
11,"Happy Days","Ghali",0,"5s36BGx9nfgtklTJpnk1AE","2017-03-01","it"
11,"Caramelle","Dark Polo Gang",0,"2UgmthxiqZnsvfLOSqx0BT","2017-03-01","it"
11,"Believer","Imagine Dragons",0,"6VRghJeP6I0w1KxkdWFfIh","2017-03-01","it"
11,"Volare","Fabio Rovazzi",0,"6wCjFS1rdcR9lNBgl4ba9o","2017-03-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"0YOUE1TlkgSbkNvWkZkEVp","2017-03-01","it"
11,"Happy Days","Ghali",0,"3FLp4tu69GLt0KPizUhFsU","2017-03-01","it"
11,"Tran Tran","Sfera Ebbasta",0,"1S2VLr8j9KVbroLn76RF4i","2017-03-01","it"
11,"Pamplona","Fabri Fibra",0,"3H452nrW7GsaU01lpfrQTf","2017-03-01","it"
11,"Ricchi Dentro","Ghali",0,"6QwcgyYWHB83EkUvz3XhDX","2017-03-01","it"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-03-01","it"
11,"Voglio ballare con te","Baby K",0,"14KKXLz5WHrzGOMUNFV22H","2017-03-01","it"
11,"Lamborghini","Gue Pequeno",0,"7G8g5Zrr5rj2OoKoXGnRb1","2017-03-01","it"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-03-01","it"
11,"Riccione","Thegiornalisti",0,"6RiprjTTheMrJ2ypJxz3H4","2017-03-01","it"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-03-01","it"
11,"L'esercito del selfie","Takagi & Ketra",0,"28I8isBTQdyl3LTtAAQofp","2017-03-01","it"
11,"El Party","Jake La Furia",0,"5xyExId5XWZplBvjmbIuy6","2017-03-01","it"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-03-01","it"
11,"La musica non c'è","Coez",0,"5IKWRPO5NGaeNIXF4rkbfZ","2017-03-01","it"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-03-01","it"
11,"Habibi","Ghali",0,"1lwpe8mLgHhytakM7m6R3W","2017-03-01","it"
11,"Oro E Argento","Gemitaiz",0,"4k6PNRmrzBRezOB32uvuaC","2017-03-01","it"
11,"Giovane Fuoriclasse","Capo Plaza",0,"4f7xpneUOcob0RoRyae6ax","2017-03-01","it"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-03-01","it"
11,"Sconosciuti da una vita","J-AX",0,"70huitTbZpfifVHwVzZdtV","2017-03-01","it"
11,"La legge del più forte","Tedua",0,"31ZxBLg6StdqVkvNAZ1eRu","2017-03-01","it"
11,"Irraggiungibile (feat. Federica)","Shade",0,"03PDOt4cRKQgpYfA9I9wnC","2017-03-01","it"
11,"Trapano","Madman",0,"64kdCC2kt1EhlePTTWe70B","2017-03-01","it"
11,"Perdonami","Salmo",0,"7kK2m2KDEL0W8oFq6fuOcf","2017-03-01","it"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-03-01","it"
11,"Favorisca i sentimenti","J-AX",0,"6T7auXdjnEFnifaWc796YQ","2017-03-01","it"
11,"Chosen","Måneskin",0,"2lDgdWIGLYuk74pDeRPgPF","2017-03-01","it"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-03-01","it"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",5243058,"4aWmUDTfIPGksMNLV2rQP2","2017-04-01","it"
2,"Shape of You","Ed Sheeran",4397497,"7qiZfU4dY1lWllzX7mPBI3","2017-04-01","it"
3,"Something Just Like This","The Chainsmokers",3390060,"6RUKPb4LETWmmr3iAEQktW","2017-04-01","it"
4,"SUBEME LA RADIO","Enrique Iglesias",3291866,"7nKBxz47S9SD79N086fuhn","2017-04-01","it"
5,"Believer","Imagine Dragons",2681680,"0CcQNd8CINkwQfe1RDtGV6","2017-04-01","it"
6,"It Ain't Me (with Selena Gomez)","Kygo",2541867,"3eR23VReFzcdmS7TYCrhCe","2017-04-01","it"
7,"You Don't Know Me - Radio Edit","Jax Jones",2373059,"00lNx0OcTJrS3MKHcB80HY","2017-04-01","it"
8,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2300805,"5knuzwU65gJK7IF5yJsuaW","2017-04-01","it"
9,"Despacito - Remix","Luis Fonsi",1027320,"5CtI0qwDJkDQGwXD1H1cLb","2017-04-01","it"
10,"Symphony (feat. Zara Larsson)","Clean Bandit",1889559,"1x5sYLZiu9r5E43kMlt9f8","2017-04-01","it"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-04-01","it"
11,"Assenzio","J-AX",0,"0DRKnh0BloxJHyhXkfbiX8","2017-04-01","it"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-04-01","it"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-04-01","it"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-04-01","it"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-04-01","it"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-04-01","it"
11,"La musica non c'è","Coez",0,"7MMJa7cjMadOSR6CFWvB1x","2017-04-01","it"
11,"Occidentali's Karma - Radio Edit","Francesco Gabbani",0,"00wxIcA1PPbqEzATkHT4e1","2017-04-01","it"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-04-01","it"
11,"Pizza Kebab","Ghali",0,"6oMxcHFSiTZPSYoRe9wFpF","2017-04-01","it"
11,"Il Diario Degli Errori","Michele Bravi",0,"5fe47fVHpndUfJUqMum9Rf","2017-04-01","it"
11,"Portami via","Fabrizio Moro",0,"2YsfmsmRwWaFV7YLvTGFcm","2017-04-01","it"
11,"Bimbi","Charlie Charles",0,"7uPI3Q0Ke3Thl0z1xzvXFn","2017-04-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"1ATWiuxpIc287Cynakx59C","2017-04-01","it"
11,"Happy Days","Ghali",0,"5s36BGx9nfgtklTJpnk1AE","2017-04-01","it"
11,"Caramelle","Dark Polo Gang",0,"2UgmthxiqZnsvfLOSqx0BT","2017-04-01","it"
11,"Believer","Imagine Dragons",0,"6VRghJeP6I0w1KxkdWFfIh","2017-04-01","it"
11,"Volare","Fabio Rovazzi",0,"6wCjFS1rdcR9lNBgl4ba9o","2017-04-01","it"
11,"Senza Pagare VS T-Pain","J-AX",0,"0YOUE1TlkgSbkNvWkZkEVp","2017-04-01","it"
11,"Happy Days","Ghali",0,"3FLp4tu69GLt0KPizUhFsU","2017-04-01","it"
11,"Tran Tran","Sfera Ebbasta",0,"1S2VLr8j9KVbroLn76RF4i","2017-04-01","it"
11,"Pamplona","Fabri Fibra",0,"3H452nrW7GsaU01lpfrQTf","2017-04-01","it"
11,"Ricchi Dentro","Ghali",0,"6QwcgyYWHB83EkUvz3XhDX","2017-04-01","it"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-04-01","it"
11,"Voglio ballare con te","Baby K",0,"14KKXLz5WHrzGOMUNFV22H","2017-04-01","it"
11,"Lamborghini","Gue Pequeno",0,"7G8g5Zrr5rj2OoKoXGnRb1","2017-04-01","it"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-04-01","it"
11,"Riccione","Thegiornalisti",0,"6RiprjTTheMrJ2ypJxz3H4","2017-04-01","it"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-04-01","it"
11,"L'esercito del selfie","Takagi & Ketra",0,"28I8isBTQdyl3LTtAAQofp","2017-04-01","it"
11,"El Party","Jake La Furia",0,"5xyExId5XWZplBvjmbIuy6","2017-04-01","it"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-04-01","it"
11,"La musica non c'è","Coez",0,"5IKWRPO5NGaeNIXF4rkbfZ","2017-04-01","it"
11,"rockstar","Post Malone",0,"7wGoVu4Dady5GV0Sv4UIsx","2017-04-01","it"
11,"Habibi","Ghali",0,"1lwpe8mLgHhytakM7m6R3W","2017-04-01","it"
11,"Oro E Argento","Gemitaiz",0,"4k6PNRmrzBRezOB32uvuaC","2017-04-01","it"
11,"Giovane Fuoriclasse","Capo Plaza",0,"4f7xpneUOcob0RoRyae6ax","2017-04-01","it"
11,"Me Rehúso","Danny Ocean",0,"6De0lHrwBfPfrhorm9q1Xl","2017-04-01","it"
11,"Sconosciuti da una vita","J-AX",0,"70huitTbZpfifVHwVzZdtV","2017-04-01","it"
11,"La legge del più forte","Tedua",0,"31ZxBLg6StdqVkvNAZ1eRu","2017-04-01","it"
11,"Irraggiungibile (feat. Federica)","Shade",0,"03PDOt4cRKQgpYfA9I9wnC","2017-04-01","it"
11,"Trapano","Madman",0,"64kdCC2kt1EhlePTTWe70B","2017-04-01","it"
11,"Perdonami","Salmo",0,"7kK2m2KDEL0W8oFq6fuOcf","2017-04-01","it"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-04-01","it"
11,"Favorisca i sentimenti","J-AX",0,"6T7auXdjnEFnifaWc796YQ","2017-04-01","it"
11,"Chosen","Måneskin",0,"2lDgdWIGLYuk74pDeRPgPF","2017-04-01","it"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-04-01","it"
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3718028,"4aWmUDTfIPGksMNLV2rQP2","2017-05-01","it"
2,"Shape of You","Ed Sheeran",3423509,"7qiZfU4dY1lWllzX7mPBI3","2017-05-01","it"
3,"Something Just Like This","The Chainsmokers",2911948,"6RUKPb4LETWmmr3iAEQktW","2017-05-01","it"
4,"SUBEME LA RADIO","Enrique Iglesias",2608713,"7nKBxz47S9SD79N086fuhn","2017-05-01","it"
5,"Senza Pagare VS T-Pain","J-AX",1883222,"1ATWiuxpIc287Cynakx59C","2017-05-01","it"
6,"Happy Days","Ghali",1872069,"5s36BGx9nfgtklTJpnk1AE","2017-05-01","it"
7,"Despacito - Remix","Luis Fonsi",1962683,"5CtI0qwDJkDQGwXD1H1cLb","2017-05-01","it"
8,"Caramelle","Dark Polo Gang",1502171,"2UgmthxiqZnsvfLOSqx0BT","2017-05-01","it"
9,"Believer","Imagine Dragons",2165864,"6VRghJeP6I0w1KxkdWFfIh","2017-05-01","it"
10,"Volare","Fabio Rovazzi",1321656,"6wCjFS1rdcR9lNBgl4ba9o","2017-05-01","it"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-05-01","it"
11,"Assenzio","J-AX",0,"0DRKnh0BloxJHyhXkfbiX8","2017-05-01","it"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-05-01","it"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-05-01","it"
11,"Chantaje","Shakira",0,"6mICuAdrwEjh6Y6lroV2Kg","2017-05-01","it"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-05-01","it"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-05-01","it"
11,"Havana","Camila Cabello",0,"0ofbQMrRDsUaVKq2mGLEAb","2017-05-01","it"
11,"La musica non c'è","Coez",0,"7MMJa7cjMadOSR6CFWvB1x","2017-05-01","it"
11,"Occidentali's Karma - Radio Edit","Francesco Gabbani",0,"00wxIcA1PPbqEzATkHT4e1","2017-05-01","it"
